Player IGN,Rank, Elo
Kyrogeniz,P1,1000.4
jobey,P1,900.4
matg,P1,950.4
King Civil,D3,1050.6
gl4cial,P2,1050.3
Âzîr,D3,1050.6
Fwi Fwi,P1,1000.4
Skifter,P1,900.4
The Orion,P2,1150.3
Stunna,P1,1000.4
Owl In A Hoodie,D3,1000.6
Heimerdoodles,D4,1050.5
Crisp Ten,D3,950.6
UBC Sauder,P1,1000.4
Hivar,G2,1000
Manì,D3,1050.6
Ðemo,P1,1000.4
Oreo Murderer,P1,1000.4
Ratchet,D3,1000.6
best buy support ,P2,950.3
N9TF poupou,P4,1000.1
aiioops,P1,900.4
Audiofizz,D3,800.6
Shane23,P2,950.3
Tricecross,P1,900.4
Queen Thomas,P1,950.4
Crucıfıx,P4,1000.1
hard to love,D2,1000.7
0 to 60 enjoyer,D4,1000.5
Payneless,D4,1100.5
pp gaoshou,P1,1000.4
King Mike,P1,1000.4
DrPhil and Chill,P2,950.3
dirt212,P3,1000.2
L9 SKOOTIN,P1,1000.4
Bweez,P3,1000.2
XFW Hammy,D3,950.6
Watercat,P2,1000.3
Ulvaric,D3*,1000.6
Huskytemplar,P2,1050.3
Thatan,P3,1050.2
lcynicl,P2,1000.3
tlights,P1,1000.4
Confounder,P1,1000.4
DannyPhantom352,D3,1050.6
Kicks for Kids,D3,1000.6
Karinoo,D3,850.6
masoof,P2,1050.3
Tuff Daddy,P2,1050.3
Inferno92,D4,950.5
Zanazerge,P2,1000.3
beloved roses,D4,1050.5
puffles mia,D2,1050.7
Captfil,P4,1100.1
TauPiPhi,D2,1000.7
Ðelilah,D3,950.6
DoG OGCush,P3,1000.2
McDoctor,P2,1000.3
allenen,P2,1000.3
WRESTLE ME NAKED,P2,1000.3
jasoncript5,P2,1000.3
DragonMoonCake,D4,1000.5
hunterwolfsteel5,D4,950.5
Is Reality Real,D3,1000.6
DoG Hazem,D2,1100.7
Mr Drex,D2,950.7
The Rak,D4,950.5
Sutekh,P1,1000.4
Rapidfire,D2,1050.7
Nøt Important,P3,1000.2
º 6,P2,1000.3
helper08,D3,1150.6
Roguę,D3,1000.6
Old Santa Zilean,D3,1000.6
Dholy,P1,1050.4
uknowthekid,P2,900.3
Café,D4,1000.5
Daedream,D2,1050.7
Fishing in Bot,P1,1000.4
Federer,P3,1000.2
kibaboy,P3,1000.2
HolyCarrot,D2,1100.7
NuFFies,P1,1000.4
Taíase,P1,1000.4
café jr,P2,900.3
top dream,P1,1000.4
U RONG ME RITE,P3,1000.2
Haman Karn,P2,1000.3
Kinori,P2,1000.3
Im a jhincel,D2,950.7
DoG Martial,D3,1050.6
xviinteen,P1,1050.4
BBBennett,P2,1100.3
Zeha,D2,950.7
shimuwu,D2,1150.7
epicfailguy456,P1,1000.4
CuteCaféDaPig,P4,1050.1
Hoshiumi,D4,1050.5
DoG loveme,P2,950.3
Noobily,P1,1000.4
donkey kongee,D2,950.7
New IGN Wanted,P3,1000.2
KingWhatsItsFace,D3,1000.6
Yung Natz ,P3,1000.2
fireflanz,D2,1000.7
Cigafiy,D2,1050.7
BlackVelvet Rose,D2,1050.7
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
